username,attention_score
Rypto__,92.306795722687
shannholmberg,5343.6180365075215
SherifDefi,247.25853269928203
ShiviXBT,13.01954780196998
SiGPRMR,12.626718484291276
sleepingPRMR,0.0
syk233,1376.4699625004496
trippykiwi,36.4498486001355
urejNFT,4.053701261232176
wlgns5388,126.19987553308736
xHBKAYO,0.0
Zion_C_,34.84316512000444
0x_degenola,257.34787314989103
0xbigm7,902.1901471645313
0xBreyn,523.9679805491867
0xCrocy,227.0923170605724
0xdogacan,433.7788540830946
73lV_,2176.0226632523645
7_Tolani,114.01278239782162
AdriansCryptoo,223.08650789228477
amit0xic,1581.7043851621825
baeko_02,879.0914165597355
baggyudong78463,108.47761671440448
BigOsCrypt,164.03156834938517
bongbongcrypto,341.789663499536
btcohmann,782.9856686268207
btcpiggy,998.8152181521976
Bum_cryptotiger,440.3525579773972
ccy1871,357.689428946043
Crypto_He,2368.460485107582
DMacOnchain,127.27648576029752
EJseong95,583.2223195771506
eolas45,48.31056745217343
gvofeyii,325.219787586741
hyeok8911,93.06666248470728
jaypolaris7,71.8781648828328
josh_benaron,363.5622605090446
juicybye,43.97556727955904
KierianV,1777.5056079944147
KriptoLisa,749.4173094309118
Li888Real,672.6365618932249
lilykuma_S2_,106.54112223352774
LIMITLESSDAMI,209.9768728139011
love_doge123,501.8196171677373
MJk9656,170.7809369875392
nftmufettisi,1209.5538924357618
OVGNFT,870.3900907683214
pinenut777,59.24762748519518
r_rainss,652.1010488812466
RaoniKor,287.42816164051925
RealJackPoor,382.2105960698054
Rhythm_rere2,65.64374462879775
ruledout_,147.66199865398715
scylla_98,181.39086425048
shl3376,138.01749538400938
shuiya850067504,103.2682772548354
Supers6061,1589.005814929545
teemomeeto,61.28644832282923
thegreatola,1419.9656998399705
VaveylaCrypto,747.7587635735922
wanghebbf,3983.718234260185
web3_Salem,169.37545810071578
Wonnie_mbm_,1659.5744112399918
xaitoshi_,148.9651355156515
xincctnnq,1192.0602587973492
yank_est,303.38944972911736
zacxbt,6820.731768273839
zkgoudan,2029.9188021921227
0x_Kalista,42.51653599793762
0xBenscrypto,28.15787054286156
0xdefi_MCK,54.45481591388516
0xVanxyrus,850.2565940080312
AlphaWolfPRMR,377.8662709870817
anytwocardzz,342.44245040598
AxelBeastt,242.9665416040626
bapking_boss,218.8005545639724
BarlowLi,352.128676289735
BeiDao_98,547.4918329296144
BetmanJoe,301.21486989489983
dee_nftarmy,1015.2570660355068
Dnyelfy,240.05060164237088
dudu_bitcoin,870.6506292465775
EmSearles,27.789710918605408
gozyy_world,609.980403844385
H0ogie,401.90885070724784
Hydraze420,2110.9279398410213
iagosnews,97.34014161206754
Iam__Attracta,141.70877183529444
IbraTheDabra,482.620911436159
ilodiwow,721.2521809572705
JaysonCrypto,749.4749891404451
Joerowntree9,29.105329725298
KCMontero,113.2574129207293
Kivendeen_eth,232.65585858709625
Kujirita,1036.6589423967112
lovestern83,566.4142986040026
Lucis_Veymon,40.23441258948548
MattInWeb3,338.7742569494699
MetaBaz7,70.23067280032254
minstrell_,179.4820524973596
munchPRMR,2666.6839504925365
mv1_Davis,16.258976732803134
Naumoski_ace,156.84592757874583
NFTMani_eth,135.34860608358247
ningfan_a,103.61517360884652
OzzyChina,139.49770285239583
Param_eth,2434.3647690313646
phill76815,1188.2735445214353
pvmihalache,489.8975668775362
quan_eth,1762.1838764069928
RayBuckton,260.0375603765792
RealmissNFT,408.0287401841224
rektonomist_,1483.6932069143606
ShuvoWeb3,113.04469167044743
spencerdoteth,235.1483041124809
supernovajunn,148.96462367392834
TheCryptoProfes,641.3710265788617
themansion_eth,1827.6044615795256
walsxbt,4939.948320610783
wangy112375,332.55578211909165
what3verman,1636.1697697700904
Wisdom_De_Great,27.91384511101055
xerocooleth,3129.350290279451
Y4NGO,76.4553434553608
youfadedwealth,2749.493001094674
Zeanftw,21.03285248501469
0xfs7,902.5793310889028
0xgeneralll,3.862002036556454
0xJohnson909,18.78993816379029
0xmelo71,0.0
0xWenMoon,18478.23671665168
0xwhysomad,99.39348751168312
0xzachamm,96.07899159791914
AleeBrics,19.04440557126079
AnonVee_,2686.522053588705
auz2or,347.0653296717224
baddest_dev,15.479200476600775
beszedin,3.227617572824352
CircleVang,25.45320053032983
crabetan,26.85093643947203
Crypto_Zh0u,519.6048014752158
CryptoHindiO,159.8596849796732
defi_mark,2.564391464809817
defimhamad,309.02956499264883
DuskUnzzz,42.03745248724023
Fantardio,1389.1197791205686
FarmingLegendX,45.83412419815165
febarce_DeFi,138.57109739145938
Febzz64,0.0
fipcrypto,1067.971376080088
flb_xyz,1589.445821309273
gemspecialist01,77.41038377599705
